"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Калькулятор","0","Расчет и проверка результата","1","0","","0"
"0","Магазин","0","Авторизация, покупка и проверка результата","1","0","","0"
